years,BBmsy,sd
0,0.648475778,0.195835813
1,0.816340092,0.200636899
2,0.973973996,0.248994893
3,1.132206883,0.292296876
4,1.278603285,0.31985997
5,1.407366552,0.330230288
6,1.515411467,0.328319615
7,1.603846239,0.319796188
8,1.675011782,0.308103454
9,1.731250328,0.294505702
10,1.775418676,0.280333045
11,1.810221205,0.265611934
12,1.837815239,0.250769874
13,1.85991448,0.236058159
14,1.87792006,0.221555253
15,1.892660108,0.207373627
16,1.904958729,0.193596711
17,1.915301578,0.18038821
18,1.924239684,0.167586317
19,1.931962954,0.155425295
20,1.938740491,0.143796219
21,1.944755407,0.132640965
22,1.950103868,0.122130114
23,1.954839414,0.112400886
24,1.959142274,0.103127671
25,1.96301289,0.094500342
26,1.966496922,0.086465805
27,1.969654597,0.079007013
28,1.97250714,0.072119808
29,1.975120798,0.06569403
30,1.977469964,0.059826561
31,1.979620585,0.054374007
32,1.981577746,0.049366229
33,1.983338718,0.044809899
34,1.984937897,0.040636905
35,1.986413753,0.036754306
36,1.98771734,0.033309766
37,1.988912162,0.030134442
38,1.989991049,0.027252735
39,1.990964927,0.024641216
40,1.991841796,0.022282391
41,1.992645873,0.020110755
42,1.993374287,0.018139419
43,1.9940308,0.016358008
44,1.99461064,0.014782195
45,1.995146461,0.013322315
46,1.995625919,0.012014901
47,1.996061791,0.010823943
48,1.996450714,0.009760079
49,1.996799257,0.008805689
50,1.997119669,0.007927436